Wed Mar 25 00:34:32 2026 | 127.0.0.1:49794 | PID:3326 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 00:35:01 2026 | 127.0.0.1:49794 | PID:3326 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 00:35:10 2026 | 127.0.0.1:49794 | PID:3326 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 00:39:25 2026 | 127.0.0.1:52210 | PID:3389 | USER:user5 | CMD:REGISTER | RESULT:OK 200 SID:1015 Registered

Wed Mar 25 00:39:39 2026 | 127.0.0.1:52210 | PID:3389 | USER:user5 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN26635 Login success

Wed Mar 25 00:39:48 2026 | 127.0.0.1:52210 | PID:3389 | USER:none | CMD:LOGOUT | RESULT:OK 200 SID:1015 Logged out

Wed Mar 25 08:35:29 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Wed Mar 25 08:35:40 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN81766 Login successful

Wed Mar 25 08:35:49 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:36:02 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:36:13 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:37:22 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:22 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:22 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:22 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:22 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:36 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:36 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:36 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:36 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:36 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:42 2026 | 127.0.0.1:54298 | PID:3534 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Wed Mar 25 08:37:53 2026 | 127.0.0.1:54298 | PID:3534 | USER:user1 | CMD:LOGIN | RESULT:ERR 403 SID:1015 Account locked

Wed Mar 25 08:38:38 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Wed Mar 25 08:38:45 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN81766 Login successful

Wed Mar 25 08:38:55 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:39:00 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:39:04 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Wed Mar 25 08:39:08 2026 | 127.0.0.1:41528 | PID:3569 | USER:user1 | CMD:LOGIN | RESULT:ERR 403 SID:1015 Account locked

Wed Mar 25 09:27:37 2026 | 127.0.0.1:49950 | PID:4163 | USER:user10 | CMD:REGISTER | RESULT:OK 200 SID:1015 Registered

Wed Mar 25 09:27:45 2026 | 127.0.0.1:49950 | PID:4163 | USER:user10 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN7379 Login successful

Wed Mar 25 09:27:52 2026 | 127.0.0.1:49950 | PID:4163 | USER:none | CMD:LOGOUT | RESULT:OK 200 SID:1015 Logged out

Fri Apr 10 20:39:18 2026 | 127.0.0.1:60514 | PID:5130 | USER:none | CMD:UNKNOWN | RESULT:ERR 400 SID:1015 Unknown command

Fri Apr 10 20:39:58 2026 | 127.0.0.1:60514 | PID:5130 | USER:user5 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Fri Apr 10 20:40:29 2026 | 127.0.0.1:60514 | PID:5130 | USER:user6 | CMD:REGISTER | RESULT:OK 200 SID:1015 Registered

Fri Apr 10 20:40:46 2026 | 127.0.0.1:60514 | PID:5130 | USER:user6 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN21851 Login successful

Fri Apr 10 20:40:53 2026 | 127.0.0.1:60514 | PID:5130 | USER:none | CMD:LOGOUT | RESULT:OK 200 SID:1015 Logged out

Fri Apr 10 20:41:39 2026 | 127.0.0.1:51648 | PID:5156 | USER:user1 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Fri Apr 10 20:42:27 2026 | 127.0.0.1:51648 | PID:5156 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Fri Apr 10 20:42:46 2026 | 127.0.0.1:51648 | PID:5156 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Fri Apr 10 20:42:58 2026 | 127.0.0.1:51648 | PID:5156 | USER:user1 | CMD:LOGIN | RESULT:ERR 401 SID:1015 Invalid login

Fri Apr 10 20:43:06 2026 | 127.0.0.1:51648 | PID:5156 | USER:user1 | CMD:LOGIN | RESULT:ERR 403 SID:1015 Account locked

Fri Apr 10 20:44:16 2026 | 127.0.0.1:37910 | PID:5177 | USER:user6 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Fri Apr 10 20:44:33 2026 | 127.0.0.1:37910 | PID:5177 | USER:user7 | CMD:REGISTER | RESULT:OK 200 SID:1015 Registered

Fri Apr 10 21:18:03 2026 | 127.0.0.1:51748 | PID:5497 | USER:user1 | CMD:REGISTER | RESULT:ERR 400 SID:1015 User exists

Fri Apr 10 21:18:11 2026 | 127.0.0.1:51748 | PID:5497 | USER:user1 | CMD:LOGIN | RESULT:OK 200 SID:1015 TOKEN:TKN50212 Login successful

Fri Apr 10 21:18:18 2026 | 127.0.0.1:51748 | PID:5497 | USER:none | CMD:LOGOUT | RESULT:OK 200 SID:1015 Logged out

